Country,Sums,Diplomacy,Public,Education,Art,Religion,Press,"Kodo1I","Kodo1RO",Area
Vietnam,"24,623",89,118,8,0,1,0,0,0,1
China,"19,374",96,28,152,0,0,0,2,24,1
Korea,"5,500",184,136,42,0,12,9,1,5,1
Philippines,"5,405",31,81,8,0,0,0,0,0,1
Indonesia,"2,741",47,77,13,0,1,0,0,0,1
Tailand,"2,271",28,11,17,0,0,0,1,0,1
Taiwan,"1,917",1,0,28,1,1,0,1,4,1
India,"1,867",25,15,79,0,1,0,1,2,1
Nepal,"1,554",1,2,5,0,0,0,0,0,1
Myanmar,"1,435",13,0,6,0,1,0,0,0,1
Asia_others,"9,995",205,111,79,1,0,2,0,5,1